setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
25-03-25_19-35-51anomaly_detection_UCRA_037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9908,0.05,0.2,0.08,0.9924,0.20833333333333334,1.0,0.3448275862068966
25-03-25_19-36-00anomaly_detection_UCRA_039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9912921348314607,0.03015075376884422,0.2,0.05240174672489083,0.992255216693419,0.13452914798206278,1.0,0.23715415019762845
25-03-25_19-36-01anomaly_detection_UCRA_040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9874376039933445,0.0,0.0,0.0,0.9874376039933445,0.0,0.0,0.0
25-03-25_19-36-01anomaly_detection_UCRA_038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9888443017656501,0.0,0.0,0.0,0.9888443017656501,0.0,0.0,0.0
25-03-25_19-36-04anomaly_detection_UCRA_041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9875,0.0,0.0,0.0,0.9875,0.0,0.0,0.0
25-03-25_19-36-11anomaly_detection_UCRA_042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9841068301225919,0.0,0.0,0.0,0.9841068301225919,0.0,0.0,0.0
25-03-25_19-36-16anomaly_detection_UCRA_043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9653005464480874,0.05384615384615385,0.13125,0.07636363636363637,0.9747950819672131,0.30245746691871456,1.0,0.4644412191582003
25-03-25_19-36-17anomaly_detection_UCRA_044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9785372848948375,0.0,0.0,0.0,0.9785372848948375,0.0,0.0,0.0
25-03-25_19-36-26anomaly_detection_UCRA_045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9721105527638191,0.0,0.0,0.0,0.9721105527638191,0.0,0.0,0.0
25-03-25_19-36-34anomaly_detection_UCRA_048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9815384615384616,0.0,0.0,0.0,0.9815384615384616,0.0,0.0,0.0
